     3.000     3.000     2.000     3.000     3.000     3.000     2.000     2.000     3.000     2.000     4.000     3.000     3.000     3.000     3.000     3.000     2.000     2.000     3.000     3.000     2.000     3.000     0.166     0.241
     2.000     2.000     2.000     2.000     4.000     2.000     1.000     0.000     1.000     0.000     3.000     2.000     0.000     1.000     3.000     3.000     1.000     2.000     2.000     3.000     2.000     2.000    -0.863     0.247
     3.000     1.000     2.000     3.000     3.000     3.000     2.000     2.000     1.000     1.000     2.000     2.000     1.000     1.000     2.000     4.000     1.000     2.000     3.000     3.000     3.000     3.000    -0.471     0.237
     2.000     1.000     0.000     2.000     3.000     2.000     2.000     2.000     2.000     2.000     3.000     3.000     1.000     2.000     3.000     3.000     2.000     3.000     3.000     4.000     3.000     3.000    -0.260     0.239
         *     3.000     2.000     2.000     3.000     4.000     2.000     3.000     2.000     3.000     2.000     1.000     1.000     1.000     1.000     2.000     1.000     1.000     1.000     2.000     1.000     3.000    -0.688     0.263
     3.000     2.000     0.000     4.000     4.000     2.000     2.000     0.000     3.000     1.000     4.000     2.000     0.000     1.000     2.000     3.000     0.000     2.000     3.000     3.000     3.000     3.000    -0.503     0.261
     2.000     1.000     2.000     1.000     3.000     1.000     1.000     1.000     1.000     3.000     2.000     1.000     1.000     1.000     1.000     2.000     1.000     3.000     2.000     3.000     2.000     3.000    -0.984     0.240
     4.000     2.000     2.000     3.000     2.000     4.000     4.000     3.000     4.000     4.000     4.000     4.000     2.000     4.000     4.000     3.000     4.000     3.000     3.000     4.000     4.000     1.000     1.093     0.282
     4.000     3.000     2.000     3.000     3.000     3.000     2.000     3.000     3.000     3.000     3.000     3.000     2.000     2.000     3.000     3.000     2.000     2.000     3.000     3.000     2.000         *     0.215     0.242
     4.000     2.000     2.000     2.000     4.000     3.000     4.000     3.000     3.000     4.000         *     4.000     0.000     1.000     3.000     1.000     4.000     2.000     3.000     2.000     2.000     3.000     0.157     0.276
     3.000     0.000     0.000     4.000     4.000     4.000     1.000     3.000     2.000     2.000     3.000     2.000     0.000     0.000     3.000     2.000     2.000     4.000     4.000     4.000     4.000     4.000     0.104     0.285
